Type,Day,Hour,Count
AE_Admits,4,23,158
AE_Admits,2,3,85
AE_Admits,5,3,89
AE_Admits,5,4,66
AE_Admits,3,5,67
AE_Admits,6,5,94
AE_Admits,2,6,87
AE_Admits,2,7,57
AE_Admits,5,7,65
AE_Admits,1,8,91
AE_Admits,4,8,73
AE_Admits,7,9,94
GP_Admits,1,0,26
GP_Admits,2,0,39
GP_Admits,3,0,27
GP_Admits,4,0,26
GP_Admits,5,0,25
GP_Admits,6,0,24
GP_Admits,7,0,26
GP_Admits,1,1,13
GP_Admits,2,1,23
GP_Admits,3,1,19
GP_Admits,4,1,17
GP_Admits,5,1,16
GP_Admits,6,1,24
GP_Admits,7,1,23
GP_Admits,1,2,13
GP_Admits,2,2,15
GP_Admits,3,2,11
GP_Admits,4,2,12
GP_Admits,5,2,8
GP_Admits,6,2,8
GP_Admits,7,2,12
GP_Admits,1,3,10
GP_Admits,2,3,20
GP_Admits,3,3,4
GP_Admits,4,3,6
GP_Admits,5,3,10
GP_Admits,6,3,11
GP_Admits,7,3,14
GP_Admits,1,4,4
GP_Admits,2,4,11
GP_Admits,3,4,12
GP_Admits,4,4,3
GP_Admits,5,4,9
GP_Admits,6,4,10
GP_Admits,7,4,8
GP_Admits,1,5,7
GP_Admits,2,5,8
GP_Admits,3,5,3
GP_Admits,4,5,8
GP_Admits,5,5,5
GP_Admits,6,5,9
GP_Admits,7,5,7
GP_Admits,1,6,4
GP_Admits,2,6,2
GP_Admits,3,6,4
GP_Admits,4,6,4
GP_Admits,5,6,6
GP_Admits,6,6,7
GP_Admits,7,6,10
GP_Admits,1,7,3
GP_Admits,2,7,6
GP_Admits,3,7,10
GP_Admits,4,7,2
GP_Admits,5,7,13
GP_Admits,6,7,43
GP_Admits,7,7,10
GP_Admits,1,8,4
GP_Admits,2,8,6
GP_Admits,3,8,12
GP_Admits,4,8,11
GP_Admits,5,8,9
GP_Admits,6,8,27
GP_Admits,7,8,17
GP_Admits,1,9,18
GP_Admits,2,9,30
GP_Admits,3,9,29
GP_Admits,4,9,21
GP_Admits,5,9,32
GP_Admits,6,9,18
GP_Admits,7,9,16
GP_Admits,1,10,74
GP_Admits,2,10,77
GP_Admits,3,10,78
GP_Admits,4,10,90
GP_Admits,5,10,76
GP_Admits,6,10,27
GP_Admits,7,10,18
GP_Admits,1,11,151
GP_Admits,2,11,110
GP_Admits,3,11,143
GP_Admits,4,11,139
GP_Admits,5,11,126
GP_Admits,6,11,40
GP_Admits,7,11,30
GP_Admits,1,12,151
GP_Admits,2,12,130
GP_Admits,3,12,155
GP_Admits,4,12,151
GP_Admits,5,12,129
GP_Admits,6,12,30
GP_Admits,7,12,35
GP_Admits,1,13,127
GP_Admits,2,13,102
GP_Admits,3,13,102
GP_Admits,4,13,131
GP_Admits,5,13,112
GP_Admits,6,13,33
GP_Admits,7,13,31
GP_Admits,1,14,130
GP_Admits,2,14,104
GP_Admits,3,14,121
GP_Admits,4,14,101
GP_Admits,5,14,124
GP_Admits,6,14,35
