id,act,cost
RCB|DC|C|CZ|CZ40|CZ40U,21,17
RCB|DC|C|CZ|CZ40|CZ40Y,65,35
RCB|DC|C|CZ|CZ41,,
RCB|DC|C|CZ|CZ41|CZ41U,10,9
RCB|DC|C|CZ|CZ41|CZ41Y,254,163
RCB|DC|C|CZ|CZ42,,
RCB|DC|C|CZ|CZ42|CZ42U,198,7
RCB|DC|C|CZ|CZ42|CZ42Y,31,15
RCB|DC|D,,
RCB|DC|D|DZ,,
RCB|DC|D|DZ|DZ03,,
RCB|DC|D|DZ|DZ03|DZ03A,3,8
RCB|DC|D|DZ|DZ03|DZ03B,1,2
RCB|DC|D|DZ|DZ04,,
RCB|DC|D|DZ|DZ04|DZ04A,1,2
RCB|DC|D|DZ|DZ06,,
RCB|DC|D|DZ|DZ06|DZ06Z,60,40
RCB|DC|D|DZ|DZ07,,
RCB|DC|D|DZ|DZ07|DZ07A,80,41
RCB|DC|D|DZ|DZ09,,
RCB|DC|D|DZ|DZ09|DZ09A,7,3
RCB|DC|D|DZ|DZ09|DZ09B,27,6
RCB|DC|D|DZ|DZ09|DZ09C,16,1
RCB|DC|D|DZ|DZ11,,
RCB|DC|D|DZ|DZ11|DZ11A,3,1
RCB|DC|D|DZ|DZ11|DZ11B,11,1
RCB|DC|D|DZ|DZ11|DZ11C,21,1
RCB|DC|D|DZ|DZ12,,
RCB|DC|D|DZ|DZ12|DZ12A,2,5
RCB|DC|D|DZ|DZ12|DZ12B,4,2
RCB|DC|D|DZ|DZ15,,
RCB|DC|D|DZ|DZ15|DZ15D,13,27
RCB|DC|D|DZ|DZ15|DZ15E,1,1
RCB|DC|D|DZ|DZ16,,
RCB|DC|D|DZ|DZ16|DZ16A,2,2
RCB|DC|D|DZ|DZ16|DZ16B,5,10
RCB|DC|D|DZ|DZ16|DZ16C,3,4
RCB|DC|D|DZ|DZ17,,
RCB|DC|D|DZ|DZ17|DZ17A,7,8
RCB|DC|D|DZ|DZ17|DZ17B,15,15
RCB|DC|D|DZ|DZ17|DZ17C,15,10
RCB|DC|D|DZ|DZ19,,
RCB|DC|D|DZ|DZ19|DZ19A,1,2
RCB|DC|D|DZ|DZ19|DZ19B,11,9
RCB|DC|D|DZ|DZ19|DZ19C,7,1
RCB|DC|D|DZ|DZ21,,
RCB|DC|D|DZ|DZ21|DZ21A,2,1
RCB|DC|D|DZ|DZ22,,
RCB|DC|D|DZ|DZ22|DZ22B,8,3
RCB|DC|D|DZ|DZ22|DZ22C,4,1
RCB|DC|D|DZ|DZ25,,
RCB|DC|D|DZ|DZ25|DZ25B,1,1
RCB|DC|D|DZ|DZ29,,
RCB|DC|D|DZ|DZ29|DZ29A,11,7
RCB|DC|D|DZ|DZ29|DZ29B,10,5
RCB|DC|D|DZ|DZ30,,
RCB|DC|D|DZ|DZ30|DZ30Z,1,1
RCB|DC|D|DZ|DZ42,,
RCB|DC|D|DZ|DZ42|DZ42Z,105,16
RCB|DC|E,,
RCB|DC|E|EA,,
RCB|DC|E|EA|EA03,,
RCB|DC|E|EA|EA03|EA03Z,137,298
RCB|DC|E|EA|EA05,,
RCB|DC|E|EA|EA05|EA05Z,47,145
RCB|DC|E|EA|EA26,,
RCB|DC|E|EA|EA26|EA26Z,3,13
RCB|DC|E|EA|EA31,,
RCB|DC|E|EA|EA31|EA31Z,30,78
RCB|DC|E|EA|EA35,,
RCB|DC|E|EA|EA35|EA35Z,18,36
RCB|DC|E|EA|EA36,,
RCB|DC|E|EA|EA36|EA36A,323,386
RCB|DC|E|EA|EA44,,
RCB|DC|E|EA|EA44|EA44Z,27,29
RCB|DC|E|EA|EA45,,
RCB|DC|E|EA|EA45|EA45Z,1,1
RCB|DC|E|EA|EA47,,
RCB|DC|E|EA|EA47|EA47Z,3,1
RCB|DC|E|EA|EA49,,
RCB|DC|E|EA|EA49|EA49Z,7,22
RCB|DC|E|EB,,
RCB|DC|E|EB|EB01,,
RCB|DC|E|EB|EB01|EB01Z,65,6
RCB|DC|E|EB|EB03,,
RCB|DC|E|EB|EB03|EB03H,7,4
RCB|DC|E|EB|EB03|EB03I,5,2
RCB|DC|E|EB|EB07,,
RCB|DC|E|EB|EB07|EB07H,29,18
RCB|DC|E|EB|EB07|EB07I,132,59
RCB|DC|E|EB|EB08,,
RCB|DC|E|EB|EB08|EB08I,6,2
RCB|DC|F,,
RCB|DC|F|FZ,,
RCB|DC|F|FZ|FZ12,,
RCB|DC|F|FZ|FZ12|FZ12D,2,9
RCB|DC|F|FZ|FZ12|FZ12E,4,10
RCB|DC|F|FZ|FZ12|FZ12F,13,25
RCB|DC|F|FZ|FZ12|FZ12I,1,3
RCB|DC|F|FZ|FZ13,,
RCB|DC|F|FZ|FZ13|FZ13C,100,87
RCB|DC|F|FZ|FZ13|FZ13D,1,1
RCB|DC|F|FZ|FZ17,,
RCB|DC|F|FZ|FZ17|FZ17B,4,10
RCB|DC|F|FZ|FZ17|FZ17C,24,44
RCB|DC|F|FZ|FZ17|FZ17D,5,6
RCB|DC|F|FZ|FZ18,,
RCB|DC|F|FZ|FZ18|FZ18A,7,12
RCB|DC|F|FZ|FZ18|FZ18B,33,42
RCB|DC|F|FZ|FZ18|FZ18C,279,350
RCB|DC|F|FZ|FZ18|FZ18E,16,18
RCB|DC|F|FZ|FZ18|FZ18F,1,2
RCB|DC|F|FZ|FZ19,,
RCB|DC|F|FZ|FZ19|FZ19A,5,5
RCB|DC|F|FZ|FZ20,,
RCB|DC|F|FZ|FZ20|FZ20B,2,4
RCB|DC|F|FZ|FZ21,,
RCB|DC|F|FZ|FZ21|FZ21A,16,18
RCB|DC|F|FZ|FZ22,,
RCB|DC|F|FZ|FZ22|FZ22A,93,88
RCB|DC|F|FZ|FZ22|FZ22B,3,3
RCB|DC|F|FZ|FZ23,,
RCB|DC|F|FZ|FZ23|FZ23A,47,29
RCB|DC|F|FZ|FZ24,,
RCB|DC|F|FZ|FZ24|FZ24A,1,1
RCB|DC|F|FZ|FZ24|FZ24B,10,6
RCB|DC|F|FZ|FZ24|FZ24C,15,9
RCB|DC|F|FZ|FZ27,,
RCB|DC|F|FZ|FZ27|FZ27B,2,3
RCB|DC|F|FZ|FZ27|FZ27C,8,11
RCB|DC|F|FZ|FZ27|FZ27D,3,4
RCB|DC|F|FZ|FZ31,,
RCB|DC|F|FZ|FZ31|FZ31F,28,11
RCB|DC|F|FZ|FZ33,,
RCB|DC|F|FZ|FZ33|FZ33E,2,1
RCB|DC|F|FZ|FZ36,,
RCB|DC|F|FZ|FZ36|FZ36F,22,8
RCB|DC|F|FZ|FZ37,,
RCB|DC|F|FZ|FZ37|FZ37F,402,129
RCB|DC|F|FZ|FZ38,,
RCB|DC|F|FZ|FZ38|FZ38F,2,1
RCB|DC|F|FZ|FZ39,,
RCB|DC|F|FZ|FZ39|FZ39F,1,1
RCB|DC|F|FZ|FZ41,,
RCB|DC|F|FZ|FZ41|FZ41F,4,1
RCB|DC|F|FZ|FZ42,,
RCB|DC|F|FZ|FZ42|FZ42A,43,29
RCB|DC|F|FZ|FZ42|FZ42B,1,1
RCB|DC|F|FZ|FZ43,,
RCB|DC|F|FZ|FZ43|FZ43C,6,2
RCB|DC|F|FZ|FZ44,,
RCB|DC|F|FZ|FZ44|FZ44C,12,5
RCB|DC|F|FZ|FZ45,,
RCB|DC|F|FZ|FZ45|FZ45C,12,5
RCB|DC|F|FZ|FZ46,,
RCB|DC|F|FZ|FZ46|FZ46C,58,20
RCB|DC|F|FZ|FZ47,,
RCB|DC|F|FZ|FZ47|FZ47C,41,8
RCB|DC|F|FZ|FZ48,,
RCB|DC|F|FZ|FZ48|FZ48C,16,6
RCB|DC|F|FZ|FZ49,,
RCB|DC|F|FZ|FZ49|FZ49C,415,135
RCB|DC|F|FZ|FZ50,,
RCB|DC|F|FZ|FZ50|FZ50Z,63,26
RCB|DC|F|FZ|FZ51,,
